segment_id,n_samples,duration_s,avg_current_uA,avg_power_uW,energy_uJ
0,413677,4.13677,3565.9690396597503,11767.697830877176,48680.25935583778
1,413699,4.13699,3565.70776423158,11766.835621964214,48679.281299709735
2,413700,4.137,3566.356706949795,11768.977132934322,48688.258398949285
3,413811,4.13811,3565.581979684762,11766.420532959715,48690.74247164593
4,413864,4.13864,3564.351784485373,11762.360888801732,48680.1772688304
5,413724,4.13724,3564.7401449882555,11763.642478461243,48669.012207589
6,413689,4.13689,3564.623110489319,11763.256264614753,48663.297208522126
7,413695,4.13695,3564.4624811162153,11762.72618768351,48661.81010213729
8,413684,4.13684,3564.388255761227,11762.481244012048,48659.502909478804
9,413606,4.13606,3564.6059395845637,11763.19960062906,48653.29934017783
