arch_idx,stage,int8_kb,overflow_kb,board
1,infeasible,870.4062,870,nrf5340dk
11,infeasible,868.5469,868,nrf5340dk
23,infeasible,870.9531,870,nrf5340dk
50,infeasible,747.0938,,nrf5340dk_3
64,infeasible,960.4609,960,nrf5340dk
65,infeasible,960.4531,960,nrf5340dk
67,infeasible,957.1016,957,nrf5340dk
81,infeasible,1167.0,1167,nrf5340dk
82,infeasible,1112.875,1112,nrf5340dk
100,infeasible,862.4141,862,nrf5340dk
117,infeasible,917.2734,917,nrf5340dk
129,infeasible,908.7344,908,nrf5340dk
136,infeasible,1126.8203,1126,nrf5340dk
137,infeasible,868.1328,868,nrf5340dk
138,infeasible,1371.7109,1371,nrf5340dk
147,infeasible,916.8203,916,nrf5340dk
164,infeasible,913.9453,913,nrf5340dk
168,infeasible,747.0,,nrf5340dk_3
171,infeasible,916.8203,916,nrf5340dk
202,infeasible,913.9453,913,nrf5340dk
203,infeasible,951.7109,951,nrf5340dk
224,infeasible,905.3828,905,nrf5340dk
227,infeasible,865.2031,865,nrf5340dk
261,infeasible,911.5312,911,nrf5340dk
265,infeasible,916.8203,916,nrf5340dk
268,infeasible,917.3672,917,nrf5340dk
274,infeasible,957.0,957,nrf5340dk
277,infeasible,905.3828,905,nrf5340dk
293,infeasible,960.4531,960,nrf5340dk
301,infeasible,916.8203,916,nrf5340dk
307,infeasible,871.4766,871,nrf5340dk
361,infeasible,960.4609,960,nrf5340dk
374,infeasible,951.7969,951,nrf5340dk
378,infeasible,1167.0938,1167,nrf5340dk
391,infeasible,1124.0391,1124,nrf5340dk
412,infeasible,914.0391,914,nrf5340dk
425,infeasible,864.7812,864,nrf5340dk
440,infeasible,1210.6797,1210,nrf5340dk
443,infeasible,873.7422,873,nrf5340dk
478,infeasible,867.6172,867,nrf5340dk
490,infeasible,951.7109,951,nrf5340dk
531,infeasible,750.3594,,nrf5340dk
542,infeasible,960.4531,960,nrf5340dk
543,infeasible,910.5781,910,nrf5340dk
571,infeasible,1167.0,1167,nrf5340dk
582,infeasible,1123.4609,1123,nrf5340dk
593,infeasible,859.3438,859,nrf5340dk
600,infeasible,916.8203,916,nrf5340dk
602,infeasible,862.4219,862,nrf5340dk
609,infeasible,914.0312,914,nrf5340dk
629,infeasible,856.5547,856,nrf5340dk
647,infeasible,911.7578,911,nrf5340dk
648,infeasible,1170.3594,1170,nrf5340dk
655,infeasible,1118.1719,1118,nrf5340dk
663,infeasible,913.4609,913,nrf5340dk
681,infeasible,750.3594,,nrf5340dk_2
682,infeasible,856.5547,856,nrf5340dk
