arch_idx,arch_str,int8_kb,rom_kb,ram_kb,latency_s,current_uA,power_mW,energy_mJ,board,g_model_kb,arena_used_kb,arena_size_kb,arena_used_pct,operators,rom_categories_json,ram_categories_json
0,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,191.7969,469.3799,366.2861,2.700956,3434.3188836910595,11.3333,30.6106,nrf5340dk_2,191.7969,107.7695,350.0,30,123,"{""(no paths)"": 233.1855, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
2,|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,621.25,898.833,366.2861,6.409713,3592.905380219344,11.8566,75.9973,nrf5340dk_3,621.25,129.582,350.0,37,168,"{""(no paths)"": 662.6387, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
3,|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,85.3828,362.9658,366.2861,0.545912,3537.42089626035,11.6735,6.3727,nrf5340dk_1,85.3828,45.1445,350.0,12,18,"{""(no paths)"": 126.7715, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
4,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,188.9609,466.5439,366.2861,2.504086,3397.7977825385024,11.2127,28.0776,nrf5340dk_2,188.9609,89.6289,350.0,25,108,"{""(no paths)"": 230.3496, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,445.1172,722.7002,366.2861,3.9957380000000002,3571.4608797851783,11.7858,47.0931,nrf5340dk_3,445.1172,96.9727,350.0,27,123,"{""(no paths)"": 486.5059, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
6,|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,606.3906,883.9736,366.2861,4.717337,3585.460200213061,11.832,55.8156,nrf5340dk_1,606.3906,72.8945,350.0,20,93,"{""(no paths)"": 647.7793, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
7,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,346.7969,624.3799,366.2861,3.013157,3514.5119717603397,11.5979,34.9463,nrf5340dk_2,346.7969,79.1914,350.0,22,63,"{""(no paths)"": 388.1855, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
8,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,399.3906,676.9736,366.2861,3.753513,3571.727421272597,11.7867,44.2415,nrf5340dk_3,399.3906,106.082,350.0,30,108,"{""(no paths)"": 440.7793, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
9,|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,85.3828,362.9658,366.2861,0.5457110000000001,3533.792569766775,11.6615,6.3638,nrf5340dk_1,85.3828,45.1445,350.0,12,18,"{""(no paths)"": 126.7715, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
10,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,87.7188,365.3018,366.2861,0.8579060000000001,3390.952920906595,11.1901,9.6001,nrf5340dk_2,87.7188,46.1914,350.0,13,28,"{""(no paths)"": 129.1074, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
12,|none~0|+|none~0|none~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,87.6719,365.2549,366.2861,0.86692,3445.5604305770357,11.3703,9.8572,nrf5340dk_3,87.6719,46.1914,350.0,13,28,"{""(no paths)"": 129.0605, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
13,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,396.4688,674.0518,366.2861,3.451969,3552.6410255183314,11.7237,40.4699,nrf5340dk_1,396.4688,88.2695,350.0,25,93,"{""(no paths)"": 437.8574, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
14,|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,341.1875,618.7705,366.2861,2.033077,3605.8293000763006,11.8992,24.1921,nrf5340dk_2,341.1875,51.9727,350.0,14,32,"{""(no paths)"": 382.5762, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
15,|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|avg_pool_3x3~2|,97.9375,375.5205,366.2861,1.482922,3593.7746981778278,11.8595,17.5866,nrf5340dk_3,97.9375,77.1133,350.0,22,78,"{""(no paths)"": 139.3262, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
16,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,606.0312,883.6143,366.2861,4.782583,3552.786382756436,11.7242,56.0719,nrf5340dk_1,606.0312,87.9727,350.0,25,93,"{""(no paths)"": 647.4199, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
17,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,240.9141,518.4971,366.2861,3.63389,3438.3029245571256,11.3464,41.2316,nrf5340dk_1,240.9141,115.957,350.0,33,153,"{""(no paths)"": 282.3027, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
18,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,660.9141,938.4971,366.2861,6.169831,3513.516928715731,11.5946,71.5368,nrf5340dk_2,660.9141,116.082,350.0,33,153,"{""(no paths)"": 702.3027, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
19,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,353.5703,631.1533,366.2861,3.446475,3612.6497985464566,11.9217,41.088,nrf5340dk_3,353.5703,68.0977,350.0,19,93,"{""(no paths)"": 394.959, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
20,|none~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,347.9219,625.5049,366.2861,2.514529,3586.593899843591,11.8358,29.7614,nrf5340dk_2,347.9219,80.082,350.0,22,63,"{""(no paths)"": 389.3105, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
21,|nor_conv_1x1~0|+|none~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,436.5547,714.1377,366.2861,2.795907,3579.6403977826403,11.8128,33.0275,nrf5340dk_1,436.5547,91.6914,350.0,26,78,"{""(no paths)"": 477.9434, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
22,|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,404.9844,682.5674,366.2861,4.660078,3563.513908372652,11.7596,54.8006,nrf5340dk_3,404.9844,109.4883,350.0,31,138,"{""(no paths)"": 446.373, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
24,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,143.0859,420.6689,366.2861,2.206775,3466.3548278423923,11.439,25.2432,nrf5340dk_1,143.0859,83.1289,350.0,23,93,"{""(no paths)"": 184.4746, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
25,|skip_connect~0|+|none~0|skip_connect~1|+|none~0|none~1|skip_connect~2|,85.3828,362.9658,366.2861,0.5454370000000001,3520.983655330442,11.6192,6.3376,nrf5340dk_2,85.3828,45.1445,350.0,12,18,"{""(no paths)"": 126.7715, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
26,|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,284.0312,561.6143,366.2861,3.181057,3453.6653176261293,11.3971,36.2548,nrf5340dk_2,284.0312,121.5664,350.0,34,153,"{""(no paths)"": 325.4199, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
27,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,186.5078,464.0908,366.2861,2.181571,3496.30445602907,11.5378,25.1705,nrf5340dk_1,186.5078,88.207,350.0,25,93,"{""(no paths)"": 227.8965, ""ZEPHYR_BASE"": 42.4736, ""OUTPUT_DIR"": 0.2969, ""/"": 0.5215, ""WORKSPACE"": 167.9707, ""(hidden)"": 24.9316}","{""(no paths)"": 355.4609, ""ZEPHYR_BASE"": 10.6299, ""WORKSPACE"": 0.166, ""(hidden)"": 0.0293}"
