arch_idx,arch_str,nats_cifar10,fp32_acc,int8_acc,delta_pp,cratered
7208,|none~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,10.0,0.1,0.1,0.0,1
13233,|none~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|none~1|none~2|,10.0,0.1,0.1,0.0,1
10322,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,56.49,0.339,0.3319,0.71,0
6893,|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|skip_connect~0|skip_connect~1|skip_connect~2|,61.21,0.3192,0.3204,-0.12,0
13201,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|none~0|none~1|avg_pool_3x3~2|,68.82,0.5318,0.5298,0.2,0
4429,|none~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|nor_conv_3x3~1|skip_connect~2|,74.04,0.5281,0.5176,1.05,0
6242,|avg_pool_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|avg_pool_3x3~2|,74.77,0.5364,0.5247,1.17,0
1201,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,75.61,0.6023,0.6024,-0.01,0
12951,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|none~1|none~2|,75.85,0.5953,0.5948,0.05,0
1284,|none~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|none~2|,76.45,0.5902,0.5887,0.15,0
7759,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|avg_pool_3x3~1|skip_connect~2|,79.11,0.5672,0.5582,0.9,0
8652,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|skip_connect~1|skip_connect~2|,79.61,0.5597,0.5575,0.22,0
12147,|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|none~0|nor_conv_1x1~1|none~2|,80.54,0.5822,0.5829,-0.07,0
7262,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,80.98,0.5508,0.545,0.58,0
5006,|avg_pool_3x3~0|+|none~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|nor_conv_1x1~2|,83.77,0.6648,0.6624,0.24,0
4919,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|skip_connect~1|none~2|,84.25,0.6382,0.6349,0.33,0
9535,|avg_pool_3x3~0|+|none~0|nor_conv_1x1~1|+|none~0|nor_conv_3x3~1|skip_connect~2|,85.05,0.6189,0.6189,0.0,0
